"","","m_true_new"
"719",5.18,0.519579991473699
"720",5.19,0.522592868160514
"721",5.2,0.525810395916463
"722",5.21,0.529229679183743
"723",5.22,0.532847640838209
"724",5.23,0.536661024958575
"725",5.24,0.54066639975653
"726",5.25,0.54486016066511
"727",5.26,0.549238533582567
"728",5.27,0.553797578268808
"729",5.28,0.558533191891341
"730",5.29,0.563441112717549
"731",5.3,0.568516923949965
"732",5.31,0.573756057701086
"733",5.32,0.579153799104166
"734",5.33,0.58470529055628
"735",5.34,0.590405536089835
"736",5.35,0.596249405868607
"737",5.36,0.602231640804242
"738",5.37,0.608346857289089
"739",5.38,0.614589552041075
"740",5.39,0.620954107056294
"741",5.4,0.627434794664825
"742",5.41,0.634025782685255
"743",5.42,0.640721139673243
"744",5.43,0.647514840259423
"745",5.44,0.65440077057183
"746",5.45,0.661372733737967
"747",5.46,0.668424455461579
"748",5.47,0.675549589669092
"749",5.48,0.68274172422065
"750",5.49,0.689994386680613
"751",5.5,0.697301050142305
"752",5.51,0.704655139101797
"753",5.52,0.712050035375412
"754",5.53,0.719479084055642
"755",5.54,0.726935599500122
"756",5.55,0.734412871348252
"757",5.56,0.741904170560069
"758",5.57,0.74940275547193
"759",5.58,0.756901877863553
"760",5.59,0.764394789030961
"761",5.6,0.771874745859862
"762",5.61,0.779335016893989
"763",5.62,0.786768888392966
"764",5.63,0.794169670374214
"765",5.64,0.80153070263349
"766",5.65,0.808845360738613
"767",5.66,0.816107061991014
"768",5.67,0.823309271349716
"769",5.68,0.83044550731243
"770",5.69,0.837509347748473
"771",5.7,0.844494435678245
"772",5.71,0.85139448499409
"773",5.72,0.858203286117363
"774",5.73,0.864914711586633
"775",5.74,0.871522721571985
"776",5.75,0.87802136931046
"777",5.76,0.884404806457739
"778",5.77,0.890667288351259
"779",5.78,0.896803179180018
"780",5.79,0.902806957056434
"781",5.8,0.908673218985658
"782",5.81,0.914396685727918
"783",5.82,0.919972206549464
"784",5.83,0.925394763857897
"785",5.84,0.930659477717648
"786",5.85,0.935761610241603
"787",5.86,0.940696569854872
"788",5.87,0.945459915426905
"789",5.88,0.950047360268201
"790",5.89,0.954454775988049
"791",5.9,0.95867819620979
"792",5.91,0.962713820140298
"793",5.92,0.966558015990432
"794",5.93,0.970207324243403
"795",5.94,0.973658460768102
"796",5.95,0.976908319774603
"797",5.96,0.97995397660916
"798",5.97,0.982792690386196
"799",5.98,0.985421906454919
"800",5.99,0.987839258698336
"801",6,0.990042571662592
"802",6.01,0.992029862514739
"803",6.02,0.993799342827148
"804",6.03,0.995349420186975
"805",6.04,0.996678699629223
"806",6.05,0.997785984892117
"807",6.06,0.998670279493661
"808",6.07,0.9993307876284
"809",6.08,0.999766914883598
"810",6.09,0.999978268774161
"811",6.1,0.999964659095854
"812",6.11,0.999726098096469
"813",6.12,0.999262800464803
"814",6.13,0.998575183137454
"815",6.14,0.997663864923602
"816",6.15,0.996529665948128
"817",6.16,0.995173606913554
"818",6.17,0.99359690818148
"819",6.18,0.991800988674341
"820",6.19,0.989787464598472
"821",6.2,0.987558147989632
"822",6.21,0.985115045082296
"823",6.22,0.982460354504175
"824",6.23,0.979596465297604
"825",6.24,0.976525954769561
"826",6.25,0.973251586172269
"827",6.26,0.969776306216452
"828",6.27,0.966103242419496
"829",6.28,0.962235700290893
"830",6.29,0.958177160357508
"831",6.3,0.953931275031339
"832",6.31,0.94950186532259
"833",6.32,0.944892917401022
"834",6.33,0.94010857900867
"835",6.34,0.935153155727155
"836",6.35,0.930031107102949
"837",6.36,0.924747042634085
"838",6.37,0.919305717621921
"839",6.38,0.913712028891691
"840",6.39,0.907971010385689
"841",6.4,0.902087828633063
"842",6.41,0.896067778100289
